Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,118.1
USA,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16,9.7
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8,143.65
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,400.22
China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57,626.46
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,214.41
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,3.56
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,29.14
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22,1.97
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,46.76
France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60,298.84
Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5,59.88
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,44.71
USA,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18,531.57
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,3.26
Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,83.32
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60,287.7
India,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15,374.54
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,16.89
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68,35.54
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,39.85
UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33,58.7
Russia,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4,93.91
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,85.56
Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47,91.43
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,202.04
Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36,65.55
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,4244.75
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,89.88
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,91.14
Russia,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66,603.93
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,107.71
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70,26.81
Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26,155.8
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,117.23
China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23,17.48
China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1,325.7
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,103.33
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14,42.96
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,68.68
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,79.08
USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69,64.89
UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32,187.23
Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54,10.05
France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31,85.11
USA,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8,133.12
India,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16,18.22
Russia,2016,Man-in-the-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23,50.18
China,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50,1030.17
UK,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60,103.5
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46,154.31
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72,373.54
France,2024,Man-in-the-Middle,Retail,60.4,774913,Unknown,Unpatched Software,Antivirus,43,77.94
China,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44,29.24
Australia,2019,DDoS,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8,41.37
China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36,87.2
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59,74.51
Japan,2018,DDoS,IT,75.34,972713,Unknown,Unpatched Software,Encryption,71,77.45
France,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51,85.5
USA,2021,Ransomware,Telecommunications,91.94,710953,Unknown,Zero-day,Firewall,9,129.32
Russia,2015,DDoS,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25,141.46
Germany,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15,123.4
Australia,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6,45.89
Australia,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17,7144.03
USA,2016,DDoS,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32,163.71
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56,10.5
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27,308.45
Japan,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27,44.81
UK,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13,94.44
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53,6.28
Brazil,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67,104.95
UK,2022,DDoS,Government,50.04,841198,Unknown,Zero-day,VPN,41,59.49
Germany,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24,389.98
Brazil,2020,DDoS,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58,86.42
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66,140.11
China,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53,120.47
Germany,2018,SQL Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35,80.54
Russia,2023,Man-in-the-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6,31.09
Germany,2023,SQL Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35,35.01
Brazil,2022,Phishing,Education,80.99,345577,Insider,Unpatched Software,Encryption,4,234.36
Australia,2017,Man-in-the-Middle,IT,30.51,428352,Hacker Group,Unpatched Software,Firewall,41,71.23
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12,81.46
USA,2019,SQL Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30,2122.6
Brazil,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9,127.64
Australia,2017,Man-in-the-Middle,Telecommunications,35.27,765929,Nation-state,Weak Passwords,Firewall,16,46.05
Russia,2017,Man-in-the-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59,70.99
USA,2021,SQL Injection,Education,45.52,838652,Unknown,Social Engineering,Encryption,20,54.28
Japan,2018,DDoS,Telecommunications,99.04,389405,Nation-state,Weak Passwords,Antivirus,53,254.34
Russia,2022,Phishing,Telecommunications,56.44,359577,Unknown,Zero-day,Encryption,38,156.96
India,2022,Man-in-the-Middle,Telecommunications,73.24,943689,Insider,Zero-day,Firewall,32,77.61
Brazil,2024,SQL Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43,18.74
Germany,2017,DDoS,Healthcare,72.05,263506,Insider,Zero-day,Encryption,49,273.43
Australia,2020,DDoS,Telecommunications,20.59,457184,Insider,Social Engineering,VPN,11,45.04
India,2019,SQL Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40,366.3
UK,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41,44.29
Japan,2018,SQL Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28,785.08
Brazil,2021,Phishing,Telecommunications,83.79,90156,Hacker Group,Unpatched Software,Antivirus,65,929.39
Australia,2015,DDoS,Telecommunications,14.55,470471,Nation-state,Unpatched Software,VPN,53,30.93
China,2021,Malware,Retail,20.52,33426,Unknown,Social Engineering,Antivirus,16,613.89
Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47,582.3
Germany,2022,Ransomware,Telecommunications,79.77,151930,Unknown,Zero-day,Encryption,4,525.04
China,2018,Malware,Education,97.2,499651,Nation-state,Zero-day,Encryption,50,194.54
Brazil,2017,DDoS,Education,41.63,249211,Insider,Zero-day,AI-based Detection,59,167.05
Germany,2024,SQL Injection,IT,1.01,470074,Insider,Weak Passwords,Encryption,9,2.15
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37,203.53
Australia,2019,SQL Injection,Healthcare,0.75,269314,Unknown,Social Engineering,VPN,64,2.78
UK,2019,Man-in-the-Middle,Healthcare,37.16,696199,Nation-state,Weak Passwords,Encryption,42,53.38
Russia,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35,276.73
Australia,2023,DDoS,IT,55.94,890234,Nation-state,Unpatched Software,VPN,53,62.84
Brazil,2019,Ransomware,Telecommunications,23.63,581616,Insider,Social Engineering,Encryption,1,40.63
China,2021,SQL Injection,IT,39.44,155768,Nation-state,Social Engineering,AI-based Detection,19,253.2
Australia,2024,Malware,Telecommunications,83.69,824298,Nation-state,Unpatched Software,Firewall,4,101.53
UK,2018,Malware,Government,28.88,212533,Insider,Unpatched Software,Antivirus,71,135.88
Brazil,2019,Ransomware,Banking,10.1,47737,Hacker Group,Social Engineering,Encryption,69,211.58
Brazil,2018,Man-in-the-Middle,IT,47.01,940513,Unknown,Unpatched Software,Encryption,10,49.98
Russia,2021,Man-in-the-Middle,Banking,18.66,292992,Insider,Zero-day,Encryption,15,63.69
Germany,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6,124.61
Australia,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25,31.43
USA,2021,Phishing,Healthcare,0.92,260396,Hacker Group,Zero-day,Antivirus,16,3.53
Australia,2024,Phishing,IT,92.48,215376,Nation-state,Social Engineering,Firewall,18,429.39
France,2016,DDoS,Telecommunications,20.09,689397,Insider,Social Engineering,AI-based Detection,68,29.14
Brazil,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32,68.21
India,2019,Phishing,Banking,18.42,289539,Nation-state,Unpatched Software,Antivirus,27,63.62
Russia,2020,DDoS,Healthcare,49.02,382327,Insider,Zero-day,VPN,30,128.21
Australia,2018,Phishing,Government,12.43,605810,Unknown,Zero-day,Firewall,41,20.52
Australia,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49,2.16
UK,2019,Phishing,Government,21.58,831367,Insider,Social Engineering,Antivirus,55,25.96
Brazil,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66,16.62
France,2023,DDoS,Retail,92.32,418211,Insider,Unpatched Software,Encryption,39,220.75
France,2022,Man-in-the-Middle,Retail,31.4,264380,Insider,Zero-day,VPN,37,118.77
Brazil,2017,Phishing,Banking,9.25,437974,Hacker Group,Zero-day,Encryption,20,21.12
India,2021,Phishing,IT,37.1,713949,Hacker Group,Unpatched Software,Antivirus,71,51.96
USA,2022,SQL Injection,IT,8.5,523164,Hacker Group,Weak Passwords,AI-based Detection,30,16.25
UK,2015,DDoS,Telecommunications,85.23,193852,Insider,Zero-day,VPN,54,439.67
UK,2024,DDoS,Retail,14.09,655640,Nation-state,Zero-day,Firewall,61,21.49
France,2021,Phishing,IT,76.02,573328,Insider,Zero-day,AI-based Detection,10,132.59
UK,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10,57.93
Brazil,2019,DDoS,Telecommunications,59.86,899413,Nation-state,Weak Passwords,Encryption,11,66.55
France,2017,SQL Injection,Healthcare,18.75,436009,Nation-state,Social Engineering,AI-based Detection,44,43.0
UK,2020,SQL Injection,Retail,56.3,142291,Nation-state,Weak Passwords,VPN,29,395.67
Germany,2019,Man-in-the-Middle,Government,64.8,276197,Unknown,Zero-day,Firewall,2,234.62
Russia,2020,Ransomware,IT,33.61,807918,Hacker Group,Social Engineering,Antivirus,37,41.6
France,2021,Man-in-the-Middle,Telecommunications,90.99,483484,Hacker Group,Unpatched Software,VPN,2,188.2
Russia,2015,Ransomware,IT,41.79,7290,Insider,Weak Passwords,AI-based Detection,32,5732.51
India,2022,DDoS,IT,38.69,333967,Insider,Zero-day,Firewall,26,115.85
China,2020,Man-in-the-Middle,Education,84.4,840118,Hacker Group,Zero-day,Encryption,58,100.46
USA,2024,Malware,Healthcare,69.46,187312,Nation-state,Zero-day,VPN,58,370.83
Brazil,2024,DDoS,IT,34.46,470727,Unknown,Weak Passwords,Firewall,8,73.21
India,2023,Malware,Education,95.97,629490,Hacker Group,Zero-day,VPN,38,152.46
France,2021,SQL Injection,Government,98.76,904598,Hacker Group,Social Engineering,AI-based Detection,11,109.18
USA,2017,Ransomware,Education,12.59,820632,Unknown,Social Engineering,AI-based Detection,65,15.34
Japan,2019,DDoS,Retail,78.78,214152,Insider,Weak Passwords,Firewall,7,367.87
Australia,2024,DDoS,Banking,21.11,18766,Insider,Weak Passwords,Firewall,43,1124.91
France,2020,Malware,Banking,50.19,760230,Nation-state,Zero-day,VPN,56,66.02
India,2021,Ransomware,Healthcare,76.83,603402,Insider,Zero-day,AI-based Detection,57,127.33
France,2020,Man-in-the-Middle,Healthcare,17.49,693907,Hacker Group,Zero-day,AI-based Detection,54,25.21
Brazil,2017,SQL Injection,Banking,66.78,698892,Unknown,Zero-day,AI-based Detection,24,95.55
UK,2015,Phishing,IT,24.17,64082,Unknown,Social Engineering,Antivirus,16,377.17
USA,2022,Ransomware,IT,38.84,687052,Nation-state,Unpatched Software,Encryption,34,56.53
Russia,2018,Phishing,Government,14.98,417488,Hacker Group,Weak Passwords,Encryption,23,35.88
Germany,2020,Ransomware,Telecommunications,15.14,970038,Nation-state,Zero-day,Firewall,47,15.61
Japan,2016,SQL Injection,Government,10.4,240441,Unknown,Zero-day,Antivirus,17,43.25
India,2020,Man-in-the-Middle,Banking,59.67,747418,Insider,Unpatched Software,VPN,20,79.83
Japan,2019,Malware,Retail,36.66,977185,Insider,Social Engineering,Antivirus,71,37.52
India,2019,Malware,Retail,58.98,267401,Unknown,Zero-day,Firewall,20,220.57
Germany,2022,Ransomware,Retail,19.47,496271,Hacker Group,Unpatched Software,AI-based Detection,20,39.23
France,2015,Phishing,Banking,64.62,104619,Insider,Unpatched Software,Antivirus,68,617.67
Russia,2024,Ransomware,Healthcare,98.25,877571,Insider,Weak Passwords,Antivirus,19,111.96
Japan,2020,Ransomware,Healthcare,41.88,93314,Hacker Group,Unpatched Software,VPN,24,448.81
Brazil,2020,DDoS,Government,13.22,790415,Hacker Group,Zero-day,Encryption,52,16.73
Germany,2020,Ransomware,IT,54.65,107180,Nation-state,Zero-day,Antivirus,68,509.89
Japan,2018,Phishing,IT,72.01,401960,Nation-state,Unpatched Software,VPN,44,179.15
USA,2020,Ransomware,Telecommunications,93.89,602474,Unknown,Social Engineering,VPN,71,155.84
Australia,2024,Phishing,Education,18.64,701144,Hacker Group,Unpatched Software,Antivirus,41,26.59
UK,2024,Malware,Education,64.05,116714,Insider,Social Engineering,Encryption,37,548.78
France,2016,Man-in-the-Middle,IT,41.79,453408,Nation-state,Social Engineering,VPN,8,92.17
UK,2022,Phishing,Retail,13.37,40843,Unknown,Weak Passwords,Encryption,66,327.35
Australia,2015,Man-in-the-Middle,Healthcare,1.62,336650,Hacker Group,Zero-day,VPN,35,4.81
China,2017,Phishing,Healthcare,92.64,911233,Hacker Group,Weak Passwords,AI-based Detection,18,101.66
Brazil,2023,Ransomware,Telecommunications,32.18,812908,Hacker Group,Weak Passwords,Antivirus,12,39.59
China,2019,SQL Injection,Education,64.26,796878,Nation-state,Zero-day,Antivirus,26,80.64
Japan,2023,Man-in-the-Middle,Government,81.57,738014,Unknown,Social Engineering,Antivirus,24,110.53
USA,2021,DDoS,Education,87.32,315915,Nation-state,Social Engineering,Antivirus,52,276.4
China,2022,Ransomware,Education,70.44,164734,Nation-state,Unpatched Software,Firewall,7,427.6
India,2024,Man-in-the-Middle,IT,1.75,617939,Unknown,Zero-day,Firewall,22,2.83
Germany,2021,Phishing,Healthcare,96.81,374164,Hacker Group,Weak Passwords,Antivirus,53,258.74
USA,2020,Phishing,Banking,74.51,332766,Hacker Group,Weak Passwords,Antivirus,53,223.91
Brazil,2018,Phishing,Healthcare,2.52,414899,Unknown,Weak Passwords,Encryption,37,6.07
Brazil,2017,DDoS,Retail,81.63,140371,Hacker Group,Zero-day,Encryption,13,581.53
Australia,2019,Ransomware,Education,43.53,729109,Insider,Weak Passwords,VPN,22,59.7
UK,2020,DDoS,Education,84.28,776200,Unknown,Weak Passwords,Encryption,49,108.58
Russia,2019,Phishing,Healthcare,17.6,839921,Unknown,Zero-day,Antivirus,5,20.95
France,2019,Malware,Education,31.35,312314,Unknown,Social Engineering,AI-based Detection,35,100.38
Australia,2024,Man-in-the-Middle,Healthcare,65.72,299613,Hacker Group,Zero-day,Firewall,20,219.35
India,2016,Phishing,Banking,43.81,250482,Insider,Weak Passwords,VPN,20,174.9
Brazil,2021,DDoS,Banking,84.41,230110,Unknown,Social Engineering,Antivirus,51,366.82
Australia,2015,SQL Injection,Retail,55.78,852650,Nation-state,Social Engineering,AI-based Detection,50,65.42
Germany,2024,DDoS,Telecommunications,67.47,337890,Unknown,Weak Passwords,Antivirus,35,199.68
Japan,2016,Malware,Education,8.08,557108,Nation-state,Zero-day,Firewall,17,14.5
Australia,2022,DDoS,Telecommunications,46.2,299968,Insider,Zero-day,Antivirus,46,154.02
China,2022,Phishing,Telecommunications,72.06,459296,Nation-state,Weak Passwords,AI-based Detection,13,156.89
India,2019,Ransomware,Telecommunications,90.48,46972,Nation-state,Social Engineering,VPN,23,1926.25
UK,2022,Malware,Healthcare,21.26,602041,Hacker Group,Unpatched Software,AI-based Detection,25,35.31
Japan,2016,Phishing,Banking,82.93,36797,Insider,Unpatched Software,VPN,2,2253.72
China,2021,SQL Injection,Healthcare,23.15,730762,Insider,Social Engineering,VPN,19,31.68
Russia,2016,Malware,Government,66.19,91194,Hacker Group,Unpatched Software,Encryption,72,725.82
India,2015,SQL Injection,Banking,95.81,42883,Unknown,Zero-day,Encryption,37,2234.22
UK,2024,SQL Injection,Retail,48.33,422592,Nation-state,Unpatched Software,VPN,37,114.37
India,2015,Man-in-the-Middle,Healthcare,29.54,837320,Unknown,Social Engineering,VPN,14,35.28
USA,2020,Phishing,Banking,44.08,708034,Unknown,Zero-day,AI-based Detection,39,62.26
Japan,2024,Phishing,IT,91.71,47841,Hacker Group,Weak Passwords,Antivirus,23,1916.97
Japan,2015,SQL Injection,Banking,73.94,274703,Nation-state,Social Engineering,Encryption,6,269.16
Australia,2021,Malware,Healthcare,10.35,776819,Insider,Unpatched Software,VPN,64,13.32
